"package"	"first_published"	"naming_convention"	"author_count"	"is_orphaned"	"public_repository"	"has_tests"	"is_versioned"	"specifies_r_version"	"is_roxygenised"	"copyright_license"
"A3"	2013	"Mixed Case"	1	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"abc"	2010	"Lower Case"	4	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL"
"ABCanalysis"	2015	"Mixed Case"	3	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-3"
"abcdeFBA"	2011	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ABCExtremes"	2013	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"ABCoptim"	2013	"Mixed Case"	2	FALSE	"GitHub"	"None/Other"	TRUE	FALSE	FALSE	"GPL"
"ABCp2"	2013	"Mixed Case"	5	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"abctools"	2013	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"abd"	2011	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	TRUE	"GPL-2"
"abf2"	2013	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"Artistic-2.0"
"abind"	2003	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"LGPL-2"
"abn"	2011	"Lower Case"	3	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"abundant"	2013	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"accelerometry"	2013	"Lower Case"	1	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"AcceptanceSampling"	2007	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL"
"ACCLMA"	2012	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"accrual"	2014	"Lower Case"	5	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"accrued"	2013	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-3"
"ACD"	2012	"Mixed Case"	5	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"acepack"	1998	"Lower Case"	4	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"MIT"
"acid"	2014	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-3"
"acm4r"	2013	"Lower Case"	3	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"ACNE"	2011	"Mixed Case"	3	FALSE	"RForge"	"None/Other"	TRUE	TRUE	FALSE	"LGPL-2.1"
"acnr"	2014	"Lower Case"	2	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"LGPL-2.1"
"acopula"	2013	"Lower Case"	1	FALSE	"None"	"None/Other"	TRUE	FALSE	FALSE	"GPL-2"
"acp"	2014	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"aCRM"	2013	"Mixed Case"	5	FALSE	"None"	"None/Other"	TRUE	FALSE	FALSE	"GPL-2"
"acs"	2012	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-3"
"acss"	2014	"Lower Case"	4	FALSE	"Other"	"None/Other"	FALSE	TRUE	TRUE	"GPL-2"
"acss.data"	2014	"Non-Alphanumeric"	4	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ACTCD"	2013	"Mixed Case"	4	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"Actigraphy"	2012	"Mixed Case"	6	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"activity"	2014	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-3"
"actuar"	2006	"Lower Case"	7	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ActuDistns"	2012	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ada"	2006	"Lower Case"	4	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"adabag"	2006	"Lower Case"	5	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"adagio"	2012	"Lower Case"	1	FALSE	"None"	"None/Other"	TRUE	FALSE	FALSE	"GPL"
"adaptDA"	2014	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AdaptFit"	2006	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AdaptFitOS"	2012	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AdaptiveSparsity"	2013	"Mixed Case"	3	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"LGPL"
"adaptivetau"	2010	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL"
"adaptMCMC"	2011	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"adaptsmoFMRI"	2012	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"adaptTest"	2009	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"additivityTests"	2014	"Mixed Case"	3	FALSE	"GitHub"	"None/Other"	FALSE	FALSE	TRUE	"GPL-3"
"addreg"	2014	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ADDT"	2014	"Mixed Case"	4	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"ade4"	2002	"Lower Case"	10	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ade4TkGUI"	2006	"Mixed Case"	2	FALSE	"Other"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"adegenet"	2007	"Lower Case"	6	FALSE	"RForge"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"adehabitat"	2004	"Lower Case"	4	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"adehabitatHR"	2011	"Mixed Case"	2	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"adehabitatHS"	2011	"Mixed Case"	2	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"adehabitatLT"	2011	"Mixed Case"	3	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"adehabitatMA"	2011	"Mixed Case"	2	FALSE	"None"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"adephylo"	2009	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AdequacyModel"	2012	"Mixed Case"	3	FALSE	"Other"	"None/Other"	TRUE	FALSE	FALSE	"GPL-2"
"ADGofTest"	2009	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"adhoc"	2013	"Lower Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"adimpro"	2006	"Lower Case"	2	FALSE	"Other"	"None/Other"	TRUE	TRUE	FALSE	"GPL-2"
"adlift"	2005	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"ADM3"	2011	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"AdMit"	2008	"Mixed Case"	3	FALSE	"Other"	"None/Other"	TRUE	FALSE	FALSE	"GPL-2"
"ads"	2007	"Lower Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"adwave"	2014	"Lower Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"aemo"	2014	"Lower Case"	2	FALSE	"None"	"testthat"	TRUE	TRUE	TRUE	"GPL-2"
"AER"	2008	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"afex"	2012	"Lower Case"	7	FALSE	"Other"	"None/Other"	FALSE	TRUE	TRUE	"GPL"
"AFLPsim"	2013	"Mixed Case"	2	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"aftgee"	2012	"Lower Case"	3	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"GPL"
"AGD"	2012	"Mixed Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"agop"	2013	"Lower Case"	2	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	TRUE	"LGPL"
"agRee"	2012	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"Agreement"	2012	"Mixed Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"agricolae"	2006	"Lower Case"	1	FALSE	"Other"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"agridat"	2011	"Lower Case"	1	FALSE	"GitHub"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
"agrmt"	2013	"Lower Case"	1	FALSE	"RForge"	"None/Other"	FALSE	FALSE	FALSE	"GPL-3"
"AGSDest"	2009	"Mixed Case"	3	FALSE	"None"	"None/Other"	FALSE	FALSE	TRUE	"GPL-2"
"agsemisc"	2006	"Lower Case"	1	FALSE	"GitHub"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"ahaz"	2011	"Lower Case"	1	FALSE	"Other"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"AICcmodavg"	2009	"Mixed Case"	1	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"AID"	2012	"Mixed Case"	3	FALSE	"None"	"None/Other"	FALSE	TRUE	FALSE	"GPL-2"
"aidar"	2013	"Lower Case"	1	FALSE	"None"	"testthat"	TRUE	FALSE	FALSE	"LGPL-2"
"AIM"	2010	"Mixed Case"	2	FALSE	"None"	"None/Other"	FALSE	FALSE	FALSE	"LGPL-2"
"Ake"	2015	"Mixed Case"	3	FALSE	"Other"	"None/Other"	FALSE	FALSE	FALSE	"GPL-2"
